laboratorios Laproff -  -  - Antioquia
GFB PRO 300 (CN018022)
Historial de eventos

'Rango : 'Por tiempo:' (02-01-2022 10:01:59 ... 05-18-2022 11:01:59)
'Filtro :   usuarios = 'Todos los usuarios'  Eventos = 'Todos los eventos'

Marca de tiempo,Evento

03-07-2022 12:34:07,'valor cambió  - Tipo de operacion Desde --- a Limpieza  - por jm (thats me)
03-07-2022 12:34:15,'valor cambió  - Tipo de operacion Desde --- a Soplado - por jm (thats me)
03-07-2022 12:34:19,'valor cambió  - Tipo de operacion Desde --- a Vaciado  - por jm (thats me)
03-07-2022 12:34:22,'valor cambió  - Tipo de operacion Desde --- a Secado - por jm (thats me)
03-07-2022 12:34:24,'valor cambió  - Tipo de operacion Desde --- a Detener - por jm (thats me)
03-07-2022 12:40:33,'valor cambió  (Operación 2) - Punto Establecido Desde 0 segundo a 20 segundo - por jm (thats me)
03-07-2022 12:40:47,'valor cambió  (Operación 2) - Punto Establecido Desde 20 segundo a 20 segundo - por jm (thats me)
03-07-2022 12:41:10,'valor cambió  (Operación 3) - Val. de paso Desde 0 hh:mm:ss a 1 hh:mm:ss - por jm (thats me)
03-07-2022 12:41:11,'valor cambió  (Operación 3) - Val. de paso Desde 10 hh:mm:ss a 10 hh:mm:ss - por jm (thats me)
03-07-2022 12:41:29,'valor cambió  (Operación 4) - Punto Establecido Desde 800 m3/h a 800 m3/h - por jm (thats me)
03-07-2022 12:41:56,'Cerrar proceso
03-07-2022 12:59:12,'valor cambió  - Tipo de operacion Desde --- a Refrigeración calefacción - por jm (thats me)
03-07-2022 12:59:14,'valor cambió  - Tipo de operacion Desde Refrigeración calefacción a Carga - por jm (thats me)
03-07-2022 12:59:16,'valor cambió  - Tipo de operacion Desde --- a Refrigeración calefacción - por jm (thats me)
03-07-2022 12:59:18,'valor cambió  - Tipo de operacion Desde --- a Aspersión - por jm (thats me)
03-07-2022 12:59:20,'valor cambió  - Tipo de operacion Desde --- a Descarga - por jm (thats me)
03-07-2022 12:59:21,'valor cambió  - Tipo de operacion Desde --- a Detener - por jm (thats me)
03-07-2022 14:48:50,'valor cambió  - Tipo de operacion Desde Carga a Refrigeración calefacción - por jm (thats me)
03-07-2022 14:49:26,'valor cambió  - Nombre de la operacion Desde Refrigeración calefacción a Precalentamiento - por jm (thats me)
03-07-2022 14:49:30,'valor cambió  - Tipo de operacion Desde Refrigeración calefacción a Carga - por jm (thats me)
03-07-2022 14:49:51,'valor cambió  - Nombre de la operacion Desde Carga a Carga de producto - por jm (thats me)
03-07-2022 14:50:34,'valor cambió  - Nombre de la operacion Desde Aspersion a Granulacion - por jm (thats me)
03-07-2022 14:50:38,'valor cambió  - Tipo de operacion Desde Descarga a Refrigeración calefacción - por jm (thats me)
03-07-2022 14:50:53,'valor cambió  - Nombre de la operacion Desde Refrigeración calefacción a Secado - por jm (thats me)
03-07-2022 14:51:00,'valor cambió  - Tipo de operacion Desde Detener a Descarga - por jm (thats me)
