laboratorios Laproff -  -  - Antioquia
GFB PRO 300 (CN018022)
Historial de eventos

'Rango : 'Por tiempo:' (01-29-2025 05:48:48 ... 02-05-2025 06:48:48)
'Filtro :   usuarios = 'Todos los usuarios'  Eventos = 'Todos los eventos'

Marca de tiempo,Evento

01-29-2025 06:15:16,'valor cambió Lámpara (X203020) - Mando Desde Apagado a Encendido - por paulamh (Paula Martinez Henao)
01-29-2025 07:42:15,'valor cambió Cabrestante ABAJO - Mando Desde Apagado a Encendido - por paulamh (Paula Martinez Henao)
01-29-2025 07:42:16,'valor cambió REMOVER PISTOLA DE ASPERSION - Mando Desde --- a De acuerdo - por paulamh (Paula Martinez Henao)
01-29-2025 07:44:39,'valor cambió Cabrestante ABAJO - Mando Desde Encendido a Apagado - por paulamh (Paula Martinez Henao)
01-29-2025 07:44:44,'valor cambió Cabrestante ARRIBA - Mando Desde Apagado a Encendido - por paulamh (Paula Martinez Henao)
01-29-2025 07:44:45,'valor cambió REMOVER PISTOLA DE ASPERSION - Mando Desde --- a De acuerdo - por paulamh (Paula Martinez Henao)
01-29-2025 07:45:50,'valor cambió Cabrestante ARRIBA - Mando Desde Encendido a Apagado - por paulamh (Paula Martinez Henao)
01-29-2025 07:45:52,'valor cambió Cabrestante ABAJO - Mando Desde Apagado a Encendido - por paulamh (Paula Martinez Henao)
01-29-2025 07:45:54,'valor cambió REMOVER PISTOLA DE ASPERSION - Mando Desde --- a De acuerdo - por paulamh (Paula Martinez Henao)
01-29-2025 07:46:59,'valor cambió Cabrestante ABAJO - Mando Desde Apagado a Encendido - por paulamh (Paula Martinez Henao)
01-29-2025 07:47:00,'valor cambió REMOVER PISTOLA DE ASPERSION - Mando Desde --- a De acuerdo - por paulamh (Paula Martinez Henao)
01-29-2025 07:50:18,'valor cambió Cabrestante ABAJO - Mando Desde Encendido a Apagado - por paulamh (Paula Martinez Henao)
01-29-2025 07:50:19,'valor cambió Cabrestante ARRIBA - Mando Desde Apagado a Encendido - por paulamh (Paula Martinez Henao)
01-29-2025 07:50:20,'valor cambió REMOVER PISTOLA DE ASPERSION - Mando Desde --- a De acuerdo - por paulamh (Paula Martinez Henao)
01-29-2025 07:51:42,'valor cambió Filtros instalados - Mando Desde No a Sí - por paulamh (Paula Martinez Henao)
01-29-2025 07:51:46,'valor cambió Sello de filtro de producto (X203530) - Mando Desde Desinflar a Inflar - por paulamh (Paula Martinez Henao)
01-29-2025 11:04:36,'valor cambió Sellos contenedor de producto - Mando Desde Desinflar a Inflar - por paulamh (Paula Martinez Henao)
01-29-2025 11:06:58,'valor cambió Modo de espera - Mando Desde Apagado a Encendido - por paulamh (Paula Martinez Henao)
01-29-2025 11:07:10,'valor cambió Válvula de drenaje de la torre - Mando Desde Apagado a Encendido - por paulamh (Paula Martinez Henao)
01-29-2025 11:07:14,'valor cambió Válvula de drenaje de la torre - Mando Desde Encendido a Apagado - por paulamh (Paula Martinez Henao)
01-29-2025 11:08:59,'receta detenida en operación 1 (Precalentamiento)
01-29-2025 11:08:59,'Abrir proceso
01-29-2025 11:09:22,'receta iniciada en operación 1 (Precalentamiento)
01-29-2025 11:09:43,'valor cambió Lámpara (X203020) - Mando Desde Apagado a Encendido - por paulamh (Paula Martinez Henao)
01-29-2025 11:18:20,'receta detenida en operación 1 (Precalentamiento)
01-29-2025 11:20:35,'receta iniciada en operación 1 (Precalentamiento)
01-29-2025 11:21:27,'receta detenida en operación 1 (Precalentamiento)
01-29-2025 11:21:48,'Cerrar proceso
01-29-2025 11:22:16,'valor cambió Control de encendido / apagado - Mando Desde Encendido a Apagado - por paulamh (Paula Martinez Henao)
